addressbase-custodian,billing-authority,census-area,company,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia,slug
,,,,,,2021-02-01,,,,Ivinghoe,Ivinghoe Neighbourhood Plan,,,neighbourhood-plan-area:ivinghoe,,,,E04001498,,,,,/neighbourhood-plan-area/ivinghoe
,,,,,,2021-02-01,,,,Long Crendon,Long Crendon Neighbourhood Plan,,,neighbourhood-plan-area:long-crendon,,,,E04001505,,,,,/neighbourhood-plan-area/long-crendon
,,,,,,2021-02-01,,,,Longwick-cum-Ilmer,Longwick-cum-Ilmer neighbourhood plan,,,neighbourhood-plan-area:longwick-cum-ilmer,,,,E04001609,,,,,/neighbourhood-plan-area/longwick-cum-ilmer
,,,,,,2021-02-01,,,,Marsh Gibbon,Marsh Gibbon Neighbourhood Plan,,,neighbourhood-plan-area:marsh-gibbon,,,,E04001509,,,,,/neighbourhood-plan-area/marsh-gibbon
,,,,,,2021-02-01,,,,Pitstone,Pitstone Neighbourhood Plan,,,neighbourhood-plan-area:pitstone,,,,E04001521,,,,,/neighbourhood-plan-area/pitstone
,,,,,,2021-02-01,,,,Quainton,Quainton Neighbourhood Plan,,,neighbourhood-plan-area:quainton,,,,E04001524,,,,,/neighbourhood-plan-area/quainton
,,,,,,2021-02-01,,,,Seer Green,Seer Green,,,neighbourhood-plan-area:seer-green,,,,E04001577,,,,,/neighbourhood-plan-area/seer-green
,,,,,,2021-02-01,,,,Slapton,Slapton Neighbourhood Plan,,,neighbourhood-plan-area:slapton,,,,E04001529,,,,,/neighbourhood-plan-area/slapton
,,,,,,2021-02-01,,,,Steeple Claydon,Steeple Claydon Neighbourhood Plan,,,neighbourhood-plan-area:steeple-claydon,,,,E04001531,,,,,/neighbourhood-plan-area/steeple-claydon
,,,,,,2021-02-01,,,,Stoke Poges,Stoke Poges Neighbourhood Area,,,neighbourhood-plan-area:stoke-poges,,,,E04001589,,,,,/neighbourhood-plan-area/stoke-poges
,,,,,,2021-02-01,,,,Taplow,Taplow Neighbourhood Area;,,,neighbourhood-plan-area:taplow,,,,E04001590,,,,,/neighbourhood-plan-area/taplow
,,,,,,2021-02-01,,,,Waddesdon,Waddesdon Neighbourhood Plan,,,neighbourhood-plan-area:waddesdon,,,,E04001544,,,,,/neighbourhood-plan-area/waddesdon
,,,,,,2021-02-01,,,,Wendover,Wendover Neighbourhood Plan,,,neighbourhood-plan-area:wendover,,,,E04001547,,,,,/neighbourhood-plan-area/wendover
,,,,,,2021-02-01,,,,Weston Turville,Weston Turville Neighbourhood Plan,,,neighbourhood-plan-area:weston-turville,,,,E04001550,,,,,/neighbourhood-plan-area/weston-turville
,,,,,,2021-02-01,,,,Wing,Wing Neighbourhood Plan,,,neighbourhood-plan-area:wing,,,,E04001553,,,,,/neighbourhood-plan-area/wing
,,,,,,2021-02-01,,,,Wingrave with Rowsham,Wingrave with Rowsham Neighbourhood Plan,,,neighbourhood-plan-area:wingrave-with-rowsham,,,,E04001554,,,,,/neighbourhood-plan-area/wingrave-with-rowsham
,,,,,,2021-02-01,,,,Winslow,Winslow Neighbourhood Plan,,,neighbourhood-plan-area:winslow,,,,E04001555,,,,,/neighbourhood-plan-area/winslow
,,,,,,2021-02-01,,,,Wooburn and Bourne End,Wooburn and Bourne End neighbourhood plan,,,neighbourhood-plan-area:wooburn-and-bourne-end,,,,E04001618,,,,,/neighbourhood-plan-area/wooburn-and-bourne-end
,,,,,,2021-02-01,,,,Worminghall,Worminghall Neighbourhood Plan,,,neighbourhood-plan-area:worminghall,,,,E04001557,,,,,/neighbourhood-plan-area/worminghall
